"product_id","active","title","parent_child_type","description","product_category","parent_product_id"
"MSH07-36-Purple","true","Rapha  Sports Short-36-Purple","standalone","<p>For those about to sweat, we support you with the Rapha Sports Short. The compression-fit liner surrounds your muscles with the stimulation they need to find your high gear, while moisture-wicking performance fabric helps prevents sweat build-up.</p>
<p>&bull; Black shorts with royal accents.<br />&bull; Compression liner. <br />&bull; Inseam: 8\". <br />&bull; Machine wash/dry.</p>","shorts-men",""
"WSH01-32-Green","true","Fiona Fitness Short-32-Green","standalone","<p>Don't let the plain style fool you: the Fiona Fitness Short demands notice on several levels. Comfort, of course. But also a performance-grade wicking fabric that takes everything you can give.</p>
<p>&bull; Black run shorts <br />- cotton/spandex.<br />&bull; 5&rdquo; inseam.<br />&bull; Machine wash/Line dry.</p>","shorts-women",""
"MP10-32-Black","true","Orestes Yoga Pant -32-Black","standalone","<p>The Orestes Yoga Pant is a yoga basic that sustains the novice yogi well into the expert stage. Organic sustainable cotton and 9% stretch spandex let your body bend to your will while your conscience stays clear.</p>
<p>&bull; A yoga essential.<br />&bull; Breathable stretch organic cotton/spandex.<br />&bull; Standard Fit.</p>","pants-men",""
"WJ06-L-Purple","true","Juno Jacket-L-Purple","standalone","<p>On colder-than-comfortable mornings, you'll love warming up in the Juno All-Ways Performanc Jacket, designed to compete with wind and chill. Built-in Cocona&reg; technology aids evaporation, while a special zip placket and stand-up collar keep your neck protected.</p>
<p>&bull; Adjustable hood.</br>&bull; Fleece-lined, zippered hand pockets.</br>&bull; Thumbhole cuffs.</br>&bull; Full zip.</br>&bull; Mock-neck collar.</br>&bull; Machine wash/dry.</p>","jackets-women",""
"WS08-S-Red","true","Minerva LumaTech&trade; V-Tee-S-Red","standalone","<p>Don't be fooled by the simple design of our Minerva LumaTech&trade; V-Neck Tee. This classic training top features the same serious sweat-wicking technology as some of the more expensive tees in our lineup.</p>
<p>&bull; Navy blue heather soft v-neck tee.<br />&bull; Flatlock seams for chafe-free comfort.<br />&bull; Relaxed cut.<br />&bull; Ultra-lightweight fabric.<br />&bull; Machine wash/dry.</p>","tees-women",""
"MH03","true","Bruno Compete Hoodie","standalone","<p>Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.</p>
<p>&bull; Full zip black hoodie pullover. <br />&bull; Adjustable drawstring hood. <br />&bull; Ribbed cuffs/waistband. <br />&bull; Kangaroo pocket. <br />&bull; Machine wash/dry.</p>","hoodies-and-sweatshirts-men",""
"WH03-XS-Purple","true","Autumn Pullie-XS-Purple","standalone","<p>With ultra-soft fleece fabric and an athletic design, our short-sleeve Autumn Pullie delivers a comfortable fit that makes it an everyday essential. A luxurious roll neck protects you from elements.</p>
<p>&bull; Cayenne Short-Sleeve roll neck sweatshirt. <br />&bull; Relaxed fit. <br />&bull; Short-Sleeves. <br />&bull; Machine wash/dry.</p>","hoodies-and-sweatshirts-women",""
"24-UB02","true","Impulse Duffle","standalone","<p>Good for beach trips, track meets, yoga retreats and more, the Impulse Duffle is the companion you'll want at your side. A large U-shaped opening makes packing a hassle-free affair, while a zippered interior pocket keeps jewelry and other small valuables safely tucked out of sight.</p>
<ul>
<li>Wheeled.</li>
<li>Dual carry handles.</li>
<li>Retractable top handle.</li>
<li>W 14\" x H 26\" x D 11\".</li>
</ul>","bags",""
"MT07-M-Gray","true","Argus All-Weather Tank-M-Gray","standalone","<p>The Argus All-Weather Tank is sure to become your favorite base layer or go-to cover for hot outdoor workouts. With its subtle reflective safely trim, you can even wear it jogging on urban evenings.</p>
<p>&bull; Dark gray polyester spandex tank.<br />&bull; Reflective details for nighttime visibility. <br />&bull; Stash pocket.<br />&bull; Anti-chafe flatlock seams.</p>","tanks-men",""
